學年度,學校,校系代碼,校系名稱,是否外加,招生名額,錄取人數,第一輪錄取人數,第一輪在校排名%,第二輪錄取人數,第二輪在校排名%,國文檢定,英文檢定,數A檢定,數B檢定,社會檢定,自然檢定,英聽檢定,比序
113,國立臺灣大學,00110,政治學系政治理論組,False,8,8.0,7.0,10.0,1.0,2.0,前標,前標,均標,均標,前標,,,"[{'name': '在校學業', 'r1': '10%', 'r2': '2%'}, {'name': '學測國英社', 'r1': None, 'r2': '44'}, {'name': '在校學業', 'r1': '1%', 'r2': None}]"
113,國立臺灣大學,00111,政治學系國際關係組,False,8,8.0,8.0,1.0,,,前標,前標,均標,均標,前標,,,"[{'name': '在校學業', 'r1': '1%', 'r2': None}, {'name': '學測國英社', 'r1': '39', 'r2': None}, {'name': '在校學業', 'r1': '3%', 'r2': None}]"
113,國立臺灣大學,00112,政治學系公共行政組,False,8,8.0,8.0,3.0,,,前標,前標,均標,均標,前標,,,"[{'name': '在校學業', 'r1': '3%', 'r2': None}, {'name': '在校學業', 'r1': '1%', 'r2': '10%'}]"
113,國立臺灣大學,00113,經濟學系A組,False,11,11.0,1.0,1.0,10.0,10.0,,前標,頂標,,前標,,,"[{'name': '在校學業', 'r1': '1%', 'r2': '10%'}, {'name': '學測英數A社', 'r1': None, 'r2': '39'}]"
113,國立臺灣大學,00114,社會學系,False,6,6.0,3.0,19.0,3.0,2.0,前標,前標,,前標,前標,,,"[{'name': '在校學業', 'r1': '19%', 'r2': '2%'}]"
113,國立臺灣大學,00115,社會工作學系,False,4,4.0,4.0,7.0,,,前標,前標,,均標,均標,,,"[{'name': '在校學業', 'r1': '7%', 'r2': None}, {'name': '在校學業', 'r1': '12%', 'r2': '2%'}]"
113,國立臺灣大學,00116,生物產業傳播暨發展學系,False,5,5.0,4.0,12.0,1.0,2.0,前標,前標,均標,,前標,,,"[{'name': '在校學業', 'r1': '12%', 'r2': '2%'}, {'name': '學測英文', 'r1': None, 'r2': '15'}, {'name': '在校學業', 'r1': None, 'r2': '15%'}]"
113,國立臺灣大學,00117,工商管理學系企業管理組,False,7,5.0,,,5.0,15.0,頂標,頂標,頂標,,前標,,,"[{'name': '在校學業', 'r1': None, 'r2': '15%'}, {'name': '在校學業', 'r1': None, 'r2': '16%'}]"
113,國立臺灣大學,00118,會計學系,False,10,6.0,,,6.0,16.0,頂標,頂標,頂標,,前標,,,"[{'name': '在校學業', 'r1': None, 'r2': '16%'}]"
113,國立臺灣大學,00119,財務金融學系,False,12,12.0,8.0,4.0,4.0,2.0,頂標,頂標,頂標,,,,,"[{'name': '在校學業', 'r1': '4%', 'r2': '2%'}, {'name': '學測國英數A', 'r1': None, 'r2': '45'}]"
113,國立臺灣大學,00119,財務金融學系【外加】,True,1,0.0,,,,,頂標,頂標,頂標,,,,,"[{'name': '在校學業', 'r1': '1%', 'r2': None}]"
113,國立臺灣大學,00120,國際企業學系,False,5,5.0,5.0,1.0,,,頂標,頂標,前標,,前標,,,"[{'name': '在校學業', 'r1': '1%', 'r2': None}, {'name': '學測國英數A社', 'r1': '51', 'r2': None}, {'name': '在校學業', 'r1': '10%', 'r2': '3%'}]"
113,國立臺灣大學,00121,法律學系法學組,False,9,9.0,4.0,10.0,5.0,3.0,頂標,頂標,,前標,頂標,,,"[{'name': '在校學業', 'r1': '10%', 'r2': '3%'}, {'name': '學測國英數B社', 'r1': None, 'r2': '59'}]"
113,國立臺灣大學,00121,法律學系法學組【外加】,True,1,0.0,,,,,頂標,頂標,,前標,頂標,,,
113,國立臺灣大學,00122,法律學系司法組,False,9,9.0,8.0,1.0,1.0,1.0,頂標,頂標,,前標,頂標,,,"[{'name': '在校學業', 'r1': '1%', 'r2': '1%'}]"
113,國立臺灣大學,00122,法律學系司法組【外加】,True,1,0.0,,,,,頂標,頂標,,前標,頂標,,,"[{'name': '在校學業', 'r1': '1%', 'r2': None}]"
113,國立臺灣大學,00123,法律學系財經法學組,False,9,9.0,9.0,1.0,,,頂標,頂標,,前標,頂標,,,"[{'name': '在校學業', 'r1': '1%', 'r2': None}, {'name': '學測國英數B社', 'r1': '56', 'r2': None}, {'name': '英語文學業', 'r1': '1%', 'r2': None}, {'name': '國語文學業', 'r1': '1%', 'r2': None}, {'name': '數學學業', 'r1': '1%', 'r2': None}, {'name': '在校學業', 'r1': '17%', 'r2': None}]"
113,國立臺灣大學,00123,法律學系財經法學組【外加】,True,1,1.0,1.0,1.0,,,頂標,頂標,,前標,頂標,,,"[{'name': '在校學業', 'r1': '17%', 'r2': None}, {'name': '在校學業', 'r1': '3%', 'r2': '3%'}]"
113,國立臺灣大學,00124,數學系,False,5,5.0,1.0,3.0,4.0,3.0,,頂標,頂標,,,頂標,,"[{'name': '在校學業', 'r1': '3%', 'r2': '3%'}]"
113,國立臺灣大學,00125,物理學系,False,4,4.0,4.0,1.0,,,頂標,頂標,頂標,,,頂標,,"[{'name': '在校學業', 'r1': '1%', 'r2': None}, {'name': '學測自然', 'r1': '15', 'r2': None}]"
113,國立臺灣大學,00126,化學系,False,5,5.0,1.0,4.0,4.0,2.0,前標,頂標,頂標,,,頂標,,"[{'name': '在校學業', 'r1': '4%', 'r2': '2%'}]"
113,國立臺灣大學,00126,化學系【外加】,True,1,0.0,,,,,前標,頂標,頂標,,,頂標,,"[{'name': '在校學業', 'r1': '10%', 'r2': None}]"
113,國立臺灣大學,00127,地質科學系,False,2,2.0,2.0,10.0,,,,均標,均標,,,頂標,,"[{'name': '在校學業', 'r1': '10%', 'r2': None}, {'name': '在校學業', 'r1': '5%', 'r2': None}]"
113,國立臺灣大學,00128,大氣科學系,False,3,3.0,3.0,5.0,,,,,頂標,,,頂標,,"[{'name': '在校學業', 'r1': '5%', 'r2': None}]"
113,國立臺灣大學,00129,經濟學系B組,False,5,5.0,3.0,6.0,2.0,6.0,,前標,頂標,,,前標,,"[{'name': '在校學業', 'r1': '6%', 'r2': '6%'}]"
